OS visitors: # in Thousands (NSA),UK visitors: # in Thousands (NSA),Month,Year
3258,5079,11,2016
3107,4642,12,2016
3123,5482,1,2017
2528,4942,2,2017
3196,5511,3,2017
3731,7660,4,2017
3619,7132,5,2017
3662,8951,6,2017
4344,8328,7,2017
4253,10819,8,2017
3302,9552,9,2017
3359,8305,10,2017
3183,5467,11,2017
2780,5093,12,2017
2734,5831,1,2018
2573,5071,2,2018
3240,5690,3,2018
3404,8018,4,2018
3614,7603,5,2018
3503,9026,6,2018
4172,8746,7,2018
4126,11533,8,2018
3237,9644,9,2018
3491,8655,10,2018
3112,5700,11,2018
3075,5054,12,2018
2830,6149,1,2019
2372,5538,2,2019
3129,6473,3,2019
3199,8406,4,2019
3438,8228,5,2019
3727,9125,6,2019
4155,8647,7,2019
4418,11628,8,2019
3292,9725,9,2019
3731,8434,10,2019
3121,5683,11,2019
3445,5050,12,2019
3036,5419,1,2020
2512,5232,2,2020
1446,3239,3,2020
95,219,4,2020
127,275,5,2020
176,445,6,2020
633,1360,7,2020
993,2759,8,2020
696,2072,9,2020
570,1369,10,2020
358,659,11,2020
458,779,12,2020
65,124,1,2021
69,292,2,2021
61,357,3,2021
65,260,4,2021
86,287,5,2021
126,453,6,2021
331,1432,7,2021
759,3044,8,2021
949,3633,9,2021
1103,3263,10,2021
1610,2833,11,2021
1039,2868,12,2021
839,2558,1,2022
1045,2985,2,2022
1860,4034,3,2022
2252,6234,4,2022
2728,6374,5,2022
2977,7815,6,2022
3445,7139,7,2022
3545,9361,8,2022
2956,8452,9,2022
3322,7418,10,2022
3238,4491,11,2022
3038,4089,12,2022
2900,5352,1,2023
2193,4718,2,2023
2598,5205,3,2023
3118,7331,4,2023
3292,7516,5,2023
3472,8525,6,2023
3880,7410,7,2023
